MatchId,BotType,Result,TimeMs,TotalClicks
371,Bot0,DEFEAT,0.01540,3
372,Bot0,DEFEAT,0.01000,5
373,Bot0,DEFEAT,0.00300,1
374,Bot0,DEFEAT,0.01220,2
375,Bot0,DEFEAT,0.00790,3
376,Bot0,DEFEAT,0.00770,3
377,Bot0,DEFEAT,0.00970,4
378,Bot0,DEFEAT,0.00210,3
379,Bot0,DEFEAT,0.00990,7
380,Bot0,DEFEAT,0.01460,5
381,Bot0,DEFEAT,0.00870,2
382,Bot0,DEFEAT,0.01380,3
383,Bot0,DEFEAT,0.01070,2
384,Bot0,DEFEAT,0.00200,1
385,Bot0,DEFEAT,0.02740,5
386,Bot0,DEFEAT,0.01180,7
387,Bot0,DEFEAT,0.00890,6
388,Bot0,DEFEAT,0.01060,7
389,Bot0,DEFEAT,0.00100,1
390,Bot0,DEFEAT,0.00800,4
391,Bot0,DEFEAT,0.00250,4
392,Bot0,DEFEAT,0.00980,6
393,Bot0,DEFEAT,0.00720,6
394,Bot0,DEFEAT,0.00860,3
395,Bot0,DEFEAT,0.01010,7
396,Bot0,DEFEAT,0.00630,3
397,Bot0,DEFEAT,0.05990,5
398,Bot0,DEFEAT,0.00980,5
399,Bot0,DEFEAT,0.00970,3
400,Bot0,DEFEAT,0.00180,3
401,Bot0,DEFEAT,0.21810,3
402,Bot0,DEFEAT,0.00840,3
403,Bot0,DEFEAT,0.00950,3
404,Bot0,DEFEAT,0.00950,6
405,Bot0,DEFEAT,0.01390,15
406,Bot0,DEFEAT,0.00640,5
407,Bot0,DEFEAT,0.00600,2
408,Bot0,DEFEAT,0.01450,6
409,Bot0,DEFEAT,0.00900,5
410,Bot0,DEFEAT,0.00910,3
411,Bot0,DEFEAT,0.00630,2
412,Bot0,DEFEAT,0.01110,10
413,Bot0,DEFEAT,0.00730,4
414,Bot0,DEFEAT,0.01460,5
415,Bot0,DEFEAT,0.00950,5
416,Bot0,DEFEAT,0.00160,1
417,Bot0,DEFEAT,0.00500,2
418,Bot0,DEFEAT,0.00100,1
419,Bot0,DEFEAT,0.00850,3
420,Bot0,DEFEAT,0.00990,8
421,Bot0,DEFEAT,0.00910,7
422,Bot0,DEFEAT,0.00120,1
423,Bot0,DEFEAT,0.01170,2
424,Bot0,DEFEAT,0.01460,14
425,Bot0,DEFEAT,0.01060,7
426,Bot0,DEFEAT,0.01080,7
427,Bot0,DEFEAT,0.00680,2
428,Bot0,DEFEAT,0.00750,6
429,Bot0,DEFEAT,0.00950,6
430,Bot0,DEFEAT,0.00800,4
431,Bot0,VICTORY,0.00950,3
432,Bot0,DEFEAT,0.00490,2
433,Bot0,DEFEAT,0.00600,4
434,Bot0,DEFEAT,0.00770,2
435,Bot0,DEFEAT,0.00990,4
436,Bot0,DEFEAT,0.00440,2
437,Bot0,DEFEAT,0.00370,3
438,Bot0,DEFEAT,0.00170,2
439,Bot0,DEFEAT,0.01940,4
440,Bot0,DEFEAT,0.00670,6
441,Bot0,DEFEAT,0.01050,3
442,Bot0,DEFEAT,0.00320,1
443,Bot0,DEFEAT,0.00760,3
444,Bot0,DEFEAT,0.00710,6
445,Bot0,DEFEAT,0.01080,7
446,Bot0,DEFEAT,0.00690,2
447,Bot0,DEFEAT,0.01090,10
448,Bot0,DEFEAT,0.00620,9
449,Bot0,DEFEAT,0.00790,6
450,Bot0,DEFEAT,0.00900,4
451,Bot0,DEFEAT,0.02860,4
452,Bot0,DEFEAT,0.00370,5
453,Bot0,DEFEAT,0.00150,1
454,Bot0,DEFEAT,0.01010,5
455,Bot0,DEFEAT,0.00850,6
456,Bot0,DEFEAT,0.01010,5
457,Bot0,DEFEAT,0.00910,3
458,Bot0,DEFEAT,0.00090,1
459,Bot0,DEFEAT,0.00220,3
460,Bot0,DEFEAT,0.00630,2
461,Bot0,DEFEAT,0.00890,4
462,Bot0,DEFEAT,0.00980,3
463,Bot0,DEFEAT,0.00320,1
464,Bot0,DEFEAT,0.00720,5
465,Bot0,DEFEAT,0.00910,4
466,Bot0,DEFEAT,0.00830,8
467,Bot0,DEFEAT,0.00100,1
468,Bot0,DEFEAT,0.00920,5
469,Bot0,DEFEAT,0.00930,6
470,Bot0,DEFEAT,0.00080,1
471,Bot0,DEFEAT,0.00120,2
472,Bot0,DEFEAT,0.00330,6
473,Bot0,DEFEAT,0.00560,3
474,Bot0,DEFEAT,0.01050,8
475,Bot0,DEFEAT,0.00760,4
476,Bot0,DEFEAT,0.00870,3
477,Bot0,DEFEAT,0.00770,5
478,Bot0,DEFEAT,0.00810,3
479,Bot0,DEFEAT,0.01440,6
480,Bot0,DEFEAT,0.01050,5
481,Bot0,DEFEAT,0.01560,4
482,Bot0,DEFEAT,0.00770,5
483,Bot0,DEFEAT,0.00950,4
484,Bot0,DEFEAT,0.00830,3
485,Bot0,DEFEAT,0.00930,5
486,Bot0,DEFEAT,0.00140,1
487,Bot0,DEFEAT,0.00760,3
488,Bot0,DEFEAT,0.00790,2
489,Bot0,DEFEAT,0.01120,9
490,Bot0,DEFEAT,0.00200,2
491,Bot0,DEFEAT,0.00660,2
492,Bot0,DEFEAT,0.00950,4
493,Bot0,DEFEAT,0.00140,1
494,Bot0,DEFEAT,0.00180,2
495,Bot0,DEFEAT,0.00670,2
496,Bot0,DEFEAT,0.00090,1
497,Bot0,DEFEAT,0.00090,1
498,Bot0,DEFEAT,0.00080,1
499,Bot0,DEFEAT,0.00950,5
500,Bot0,DEFEAT,0.00140,2
501,Bot0,DEFEAT,0.01000,6
502,Bot0,DEFEAT,0.00950,4
503,Bot0,DEFEAT,0.00920,5
504,Bot0,DEFEAT,0.00090,1
505,Bot0,DEFEAT,0.00770,7
506,Bot0,DEFEAT,0.00940,4
507,Bot0,DEFEAT,0.00380,2
508,Bot0,DEFEAT,0.00690,2
509,Bot0,DEFEAT,0.00230,3
510,Bot0,DEFEAT,0.00940,4
511,Bot0,DEFEAT,0.00090,1
512,Bot0,DEFEAT,0.00360,2
513,Bot0,DEFEAT,0.00860,2
514,Bot0,DEFEAT,0.00620,2
515,Bot0,DEFEAT,0.01050,8
516,Bot0,DEFEAT,0.00490,2
517,Bot0,DEFEAT,0.02030,4
518,Bot0,DEFEAT,0.00820,3
519,Bot0,DEFEAT,0.00920,4
520,Bot0,DEFEAT,0.00140,2
521,Bot0,DEFEAT,0.01040,7
522,Bot0,DEFEAT,0.04510,9
523,Bot0,DEFEAT,0.01840,7
524,Bot0,DEFEAT,0.00770,2
525,Bot0,DEFEAT,0.00550,3
526,Bot0,DEFEAT,0.00560,4
527,Bot0,DEFEAT,0.00590,5
528,Bot0,DEFEAT,0.00790,7
529,Bot0,DEFEAT,0.00670,3
530,Bot0,DEFEAT,0.00130,1
531,Bot0,DEFEAT,0.00710,6
532,Bot0,DEFEAT,0.00690,6
533,Bot0,DEFEAT,0.00530,5
534,Bot0,DEFEAT,0.00890,12
535,Bot0,DEFEAT,0.00490,3
536,Bot0,DEFEAT,0.00620,3
537,Bot0,DEFEAT,0.00110,1
538,Bot0,DEFEAT,0.00470,2
539,Bot0,DEFEAT,0.00650,7
540,Bot0,DEFEAT,0.00620,3
541,Bot0,DEFEAT,0.00590,2
542,Bot0,DEFEAT,0.00160,2
543,Bot0,DEFEAT,0.00590,6
544,Bot0,DEFEAT,0.00420,3
545,Bot0,DEFEAT,0.00790,8
546,Bot0,DEFEAT,0.00640,3
547,Bot0,DEFEAT,0.00410,3
548,Bot0,DEFEAT,0.00690,8
549,Bot0,DEFEAT,0.00350,3
550,Bot0,DEFEAT,0.00800,6
551,Bot0,DEFEAT,0.00850,7
552,Bot0,DEFEAT,0.00350,3
553,Bot0,DEFEAT,0.00430,2
554,Bot0,DEFEAT,0.01230,14
555,Bot0,DEFEAT,0.00130,1
556,Bot0,DEFEAT,0.00770,4
557,Bot0,DEFEAT,0.00100,1
558,Bot0,DEFEAT,0.00340,2
559,Bot0,DEFEAT,0.00650,4
560,Bot0,DEFEAT,0.00550,4
561,Bot0,DEFEAT,0.00150,2
562,Bot0,DEFEAT,0.00730,6
563,Bot0,DEFEAT,0.00570,3
564,Bot0,DEFEAT,0.00510,4
565,Bot0,DEFEAT,0.00470,6
566,Bot0,DEFEAT,0.00580,3
567,Bot0,DEFEAT,0.00680,4
568,Bot0,DEFEAT,0.00470,3
569,Bot0,DEFEAT,0.00520,5
570,Bot0,DEFEAT,0.00820,8
571,Bot0,DEFEAT,0.00770,4
572,Bot0,DEFEAT,0.00440,3
573,Bot0,DEFEAT,0.00460,4
574,Bot0,DEFEAT,0.00700,9
575,Bot0,DEFEAT,0.00660,4
576,Bot0,DEFEAT,0.00090,1
577,Bot0,DEFEAT,0.00580,5
578,Bot0,DEFEAT,0.00360,2
579,Bot0,DEFEAT,0.00380,3
580,Bot0,DEFEAT,0.00800,5
581,Bot0,DEFEAT,0.00100,1
582,Bot0,DEFEAT,0.00610,2
583,Bot0,DEFEAT,0.00310,1
584,Bot0,DEFEAT,0.00420,2
585,Bot0,DEFEAT,0.00960,8
586,Bot0,DEFEAT,0.00490,5
587,Bot0,DEFEAT,0.00440,3
588,Bot0,DEFEAT,0.00750,5
589,Bot0,DEFEAT,0.00560,3
590,Bot0,DEFEAT,0.00490,4
591,Bot0,DEFEAT,0.00420,5
592,Bot0,DEFEAT,0.00840,9
593,Bot0,DEFEAT,0.00700,6
594,Bot0,DEFEAT,0.00400,2
595,Bot0,DEFEAT,0.00150,2
596,Bot0,DEFEAT,0.00560,5
597,Bot0,DEFEAT,0.00740,5
598,Bot0,DEFEAT,0.00400,3
599,Bot0,DEFEAT,0.00530,6
600,Bot0,DEFEAT,0.00460,4
601,Bot0,DEFEAT,0.01360,24
602,Bot0,DEFEAT,0.00290,2
603,Bot0,DEFEAT,0.00140,2
